Año,Mes,Grupo,Subgrupo,Indicador_grup,Indicador
2013,Junio,Alimentos y No alimentos,Alimentos,-0.56,Variación acumulada
2013,Julio,Alimentos y No alimentos,Alimentos,94.17,Índice
2013,Julio,Alimentos y No alimentos,Alimentos,-0.54,Variación mensual
2013,Julio,Alimentos y No alimentos,Alimentos,0.79,Variación anual
2013,Julio,Alimentos y No alimentos,Alimentos,-1.1,Variación acumulada
2013,Agosto,Alimentos y No alimentos,Alimentos,94.53,Índice
2013,Agosto,Alimentos y No alimentos,Alimentos,0.39,Variación mensual
2013,Agosto,Alimentos y No alimentos,Alimentos,0.73,Variación anual
2013,Agosto,Alimentos y No alimentos,Alimentos,-0.71,Variación acumulada
2013,Septiembre,Alimentos y No alimentos,Alimentos,95.01,Índice
2013,Septiembre,Alimentos y No alimentos,Alimentos,0.5,Variación mensual
2013,Septiembre,Alimentos y No alimentos,Alimentos,-0.69,Variación anual
2013,Septiembre,Alimentos y No alimentos,Alimentos,-0.21,Variación acumulada
2013,Octubre,Alimentos y No alimentos,Alimentos,96.01,Índice
2013,Octubre,Alimentos y No alimentos,Alimentos,1.05,Variación mensual
2013,Octubre,Alimentos y No alimentos,Alimentos,0.41,Variación anual
2013,Octubre,Alimentos y No alimentos,Alimentos,0.84,Variación acumulada
2013,Noviembre,Alimentos y No alimentos,Alimentos,96.74,Índice
2013,Noviembre,Alimentos y No alimentos,Alimentos,0.77,Variación mensual
2013,Noviembre,Alimentos y No alimentos,Alimentos,0.99,Variación anual
2013,Noviembre,Alimentos y No alimentos,Alimentos,1.61,Variación acumulada
2013,Diciembre,Alimentos y No alimentos,Alimentos,97.04,Índice
2013,Diciembre,Alimentos y No alimentos,Alimentos,0.31,Variación mensual
2013,Diciembre,Alimentos y No alimentos,Alimentos,1.92,Variación anual
2013,Diciembre,Alimentos y No alimentos,Alimentos,1.92,Variación acumulada
2014,Enero,Alimentos y No alimentos,Alimentos,98.67,Índice
2014,Enero,Alimentos y No alimentos,Alimentos,1.67,Variación mensual
2014,Enero,Alimentos y No alimentos,Alimentos,3.06,Variación anual
2014,Enero,Alimentos y No alimentos,Alimentos,1.67,Variación acumulada
2014,Febrero,Alimentos y No alimentos,Alimentos,98.3,Índice
2014,Febrero,Alimentos y No alimentos,Alimentos,-0.37,Variación mensual
2014,Febrero,Alimentos y No alimentos,Alimentos,2.83,Variación anual
2014,Febrero,Alimentos y No alimentos,Alimentos,1.3,Variación acumulada
2014,Marzo,Alimentos y No alimentos,Alimentos,99.78,Índice
2014,Marzo,Alimentos y No alimentos,Alimentos,1.5,Variación mensual
2014,Marzo,Alimentos y No alimentos,Alimentos,3.57,Variación anual
